Date,Open,High,Low,Close,Adj Close,Volume
26/07/2016,148.669998,149.229996,147.029999,147.619995,146.005676,57800
27/07/2016,147,147.580002,140.100006,141.729996,140.417908,181000
28/07/2016,141.729996,144.199997,141.320007,143.940002,142.607468,88500
29/07/2016,144.350006,145.820007,140.100006,142.410004,141.091629,205800
1/08/2016,141.820007,145.229996,140.729996,144.509995,143.172165,85200
2/08/2016,145.110001,146.229996,142.070007,142.600006,141.279861,109000
3/08/2016,142.5,143.929993,140.460007,142.419998,141.101517,56700
4/08/2016,143.229996,144,141.300003,142.270004,140.952911,36000
5/08/2016,142.940002,144.039993,141.899994,142.350006,141.03215,43900
8/08/2016,142.220001,142.449997,140.509995,141.559998,140.249466,29100
9/08/2016,141.820007,143.369995,141.070007,141.529999,140.219772,48000
10/08/2016,142.210007,160.800003,141.559998,153.5,152.078934,206000
11/08/2016,153.110001,154.199997,151.679993,152.25,150.840515,108500
12/08/2016,151.800003,158.460007,151.800003,156.5,155.051147,84500
15/08/2016,158.130005,161.440002,156.649994,158,156.537277,68200
16/08/2016,157.110001,158.220001,153.619995,153.960007,152.534714,54300
17/08/2016,152.770004,152.910004,150.009995,151.699997,150.295593,61700
18/08/2016,152.309998,154.389999,151.389999,152.759995,151.345795,72500
19/08/2016,152.449997,155.509995,150.699997,151.259995,149.85968,30600
22/08/2016,150.860001,151.839996,149.300003,150.039993,148.65097,64400
23/08/2016,149.720001,154.789993,149.589996,153.020004,151.603409,76600
24/08/2016,153.360001,153.970001,151.029999,151.710007,150.305527,42100
25/08/2016,151,153.770004,151,152.559998,151.147644,48400
26/08/2016,152.240005,153.679993,149.960007,151.339996,149.938934,64800
29/08/2016,150.470001,152.740005,150,150.259995,148.868942,53500
30/08/2016,150.619995,151.699997,149.550003,150.520004,149.126526,53300
31/08/2016,151.089996,151.089996,149.839996,150.300003,148.908569,52200
1/09/2016,149.899994,152.649994,149.899994,152.649994,151.236816,52100
2/09/2016,152.699997,154.289993,151.869995,153.830002,152.405899,83300
6/09/2016,154.589996,154.809998,152.179993,153.720001,152.296921,40900
7/09/2016,153.940002,156.860001,152.960007,154.619995,153.188583,107400
8/09/2016,153.880005,155.289993,151.380005,151.630005,150.226273,89000
9/09/2016,150.880005,151.899994,149.080002,149.210007,147.828674,101400
12/09/2016,149.350006,151.229996,148.759995,149.800003,148.413208,132000
13/09/2016,149,150.020004,146.470001,147.149994,145.78772,60000
14/09/2016,147.75,148.889999,146.119995,146.179993,144.826706,30600
15/09/2016,146.169998,146.910004,145.630005,146.399994,145.044693,37700
16/09/2016,146.520004,146.520004,143.029999,143.850006,142.51828,74700
19/09/2016,143.5,146,143.5,144.639999,143.300949,42600
20/09/2016,145.589996,146.699997,144.660004,145.729996,144.38089,66700
21/09/2016,146,147.300003,145.110001,145.949997,144.598831,56900
22/09/2016,145.910004,151.600006,145.910004,150.529999,149.136429,92400
23/09/2016,151.009995,151.009995,148.460007,148.520004,147.145065,35200
26/09/2016,148.179993,148.179993,144.300003,144.5,143.162262,60200
27/09/2016,144,148.369995,144,148.190002,146.8181,86800
28/09/2016,147.880005,149.539993,145.039993,146.130005,144.777161,58800
29/09/2016,146.649994,147,143.339996,143.410004,142.082367,40300
30/09/2016,143.199997,149.259995,142.690002,148.160004,146.788406,115900
3/10/2016,147.520004,147.589996,144.330002,145.119995,143.77652,72700
4/10/2016,145.600006,146.399994,142.529999,143.490005,142.161636,59700
5/10/2016,144.289993,144.639999,140.070007,141.440002,140.1306,284000
6/10/2016,141.529999,143.410004,140.509995,142.5,141.180786,94200
7/10/2016,142.460007,143.300003,140.789993,141.470001,140.160324,99500
10/10/2016,141.350006,143.690002,140.740005,141.580002,140.269318,85900
11/10/2016,141.759995,142.800003,138.600006,140.300003,139.001144,59600
12/10/2016,139.389999,142.789993,137.220001,141.789993,140.477325,92500
13/10/2016,142.070007,142.820007,140.889999,141.869995,140.556595,56300
14/10/2016,142.199997,142.199997,139.960007,140.350006,139.05069,31600
17/10/2016,140.100006,142.240005,140,141.229996,139.922531,26700
18/10/2016,142,143.660004,140,142.399994,141.081696,35600
